item,count
Hyundai Accent Sedan,6
Aston Martin V8 Vantage Coup,5
Buick Enclave,20
Ford Mustang Coup,25
Infiniti G25,6
Volkswagen Touareg Hybrid,1
Ford Fiesta Hatchback,4
Toyota Land Cruiser,2
Cadillac CTS-V Wagon,4
Jeep Commander,6
Audi A4 Avant,3
Mitsubishi Lancer Sportback,3
Rolls-Royce Phantom Coupe,2
Ford Crown Victoria,1
Chevrolet HHR Panel,8
Audi S6,2
Chevrolet Express,21
Volvo V50,5
Maserati GranTurismo Convertible,2
BMW 3 Series Sports Wagon,12
Audi A5 Coupe,7
Scion xB,10
Mercury Grand Marquis,2
Toyota Venza,8
GMC Savana,41
Dodge Dakota,28
Toyota Highlander,25
GMC Yukon XL,27
Chevrolet Tahoe,12
Mercedes-Benz E-Class Coupe,4
Mercedes-Benz R-Class,6
GMC Canyon,78
Mercedes-Benz SLK-Class,7
Chrysler 300,14
Honda Accord Coupe,15
BMW X3,4
Hyundai Elantra Sedan,15
Ford E-150 Van,12
Infiniti QX56,6
Honda Pilot,20
Infiniti EX,16
Lexus GS,6
BMW M3 Convertible,2
Maserati GranTurismo Coup,4
Suzuki SX4 Crossover,2
Volvo V70,1
Jaguar XJ,18
Acura RDX,4
Bentley Continental Supersports Convertible,2
Lamborghini Gallardo Coupe,3
Ford Focus Coupe,4
Lexus LX,2
Chevrolet Cruze,16
Bentley Azure T,1
Nissan Titan,70
Toyota Tundra,66
MINI Cooper Coupe,5
Acura RL,3
Ford Taurus,15
Scion tC,10
Porsche Boxster,5
Dodge Avenger,11
Cadillac Escalade,24
Buick Lucerne,13
Mazda Mazdaspeed3,3
Ford E-150 Wagon,10
Mercedes-Benz E-Class Sedan,11
Chevrolet Traverse,24
Chevrolet Impala,9
BMW 3 Series Sedan,18
Chevrolet Corvette ZR1,6
Lincoln MKX,6
Volkswagen GTI 2-Door,4
Hyundai Sonata,25
Nissan Pathfinder,33
Cadillac Escalade Hybrid,10
Volkswagen Jetta,38
Ford Focus Sedan,17
Kia Sedona,7
Nissan Frontier,55
Nissan Armada,36
Scion xD,6
Bentley Continental Supersports,1
Toyota Yaris 3-Door Liftback,7
Mitsubishi Lancer Evolution,2
Dodge Viper Convertible,1
Nissan 370Z Roadster,11
MINI Cooper Convertible,15
Chrysler Sebring Convertible,3
Subaru Outback,14
BMW 5 Series Sports Wagon,2
BMW 1 Series Convertible,10
Chevrolet Malibu,19
Lexus RX,2
Bentley Mulsanne,1
Kia Sportage,21
Infiniti G37 Coupe,12
Hyundai Elantra Touring,14
Subaru Legacy,19
Nissan 370Z Coupe,20
Bentley Continental GT,3
Cadillac SRX Crossover,7
BMW M6 Convertible,1
Land Rover LR2,4
Ford F-150,185
Subaru Impreza WRX Sedan,8
Chrysler 200 Convertible,3
Chevrolet Corvette Grand Sport Convertible,24
Chevrolet Aveo5,10
Honda Accord Sedan,28
Volkswagen Golf 2-Door,9
Cadillac CTS-V Sedan,6
Hyundai Accent Hatchback,14
Nissan Versa Sedan,13
Ford Transit Connect Wagon,2
Honda Fit,12
Ford Focus 5-Door,4
Hyundai Azera,4
BMW 7 Series,17
Volvo XC70,15
Subaru Impreza Sedan,13
Infiniti IPL G Coupe,4
Chevrolet Suburban,3
Dodge Viper Coup,1
Cadillac STS,13
Audi S4 Sedan,3
Lincoln MKS,9
Nissan Juke,2
Audi Q7,12
Jeep Compass,12
Acura MDX,3
Mazda CX-7,13
lexus IS F,1
GMC Sierra 1500,124
Mercedes-Benz E-Class Wagon,1
Buick Regal,13
Chevrolet Corvette Z06,9
Mercedes-Benz GLK-Class,4
Mercury Mariner,16
Suzuki SX4 Sedan,8
Transit Connect Van,4
Chevrolet HHR Wagon,14
Ford Fiesta Sedan,6
MINI Clubman,15
Kia Rio 5-Door,4
Chevrolet Sonic Sedan,6
Jeep Patriot,23
Ferrari 612 Scaglietti,1
Jaguar XK Convertible,6
Dodge Challenger,11
Land Rover Range Rover Sport,10
Acura TSX Sport Wagon,2
Mercury Milan,10
Toyota 4Runner,16
Mazda Mazda6,23
Lotus Evora,1
Saab 9-3 Sport Sedan,20
Honda Civic Coup,17
Audi TT RS,1
Audi A5 Cabriolet,3
Volkswagen Jetta SportWagen,11
Porsche Cayman,5
BMW M6 Coup,1
Mercedes-Benz M-Class,8
Infiniti G37 Convertible,8
Mercedes-Benz CL-Class,8
Ford Ranger,38
Chevrolet Colorado,115
Lincoln MKZ Sedan,4
Rolls-Royce Ghost,2
model,1
Volvo C70,6
Aston Martin Virage Coup,2
GMC Yukon Hybrid,10
Bentley Continental Supersports Coupe,1
Kia Optima,16
BMW ActiveHybrid 7 Sedan,3
Land Rover Range Rover Evoque,5
Honda CR-Z,4
Land Rover Range Rover,9
Toyota Camry,26
Volkswagen Tiguan,15
Maserati Quattroporte,6
Aston Martin DB9 Volante,7
BMW Z4 Roadster,5
Honda Element,11
Lamborghini Gallardo Coup,1
BMW X6,6
Saab 9-5 Sedan,7
Dodge Charger,14
Aston Martin DBS Volante,6
Ford E-250 Van,16
Infiniti M Hybrid,1
Audi R8 Coupe,6
Saab 9-4X,5
Mazda Mazda5,8
Cadillac Escalade ESV,24
Aston Martin DB9 Coup,7
Rolls-Royce Phantom Drophead Coupe,2
BMW 3 Series Coup,29
Cadillac CTS Sport Wagon,28
Honda Odyssey,14
Bentley Continental GTC,3
Volkswagen Golf 4-Door,6
Mazda Mazda2,8
Nissan Cube,6
Honda Ridgeline,6
Hyundai Genesis Sedan,7
Mercedes-Benz G-Class,4
Mitsubishi Eclipse Coupe,14
Chevrolet Equinox,43
Cadillac CTS Coupe,14
GMC Yukon,16
Volvo S40,7
Mazda CX-9,18
Bentley Continental Flying Spur,5
BMW M3 Coup,2
Toyota Yaris Sedan,4
BMW 1 Series Coup,4
Kia Rio5,6
Volkswagen CC,10
Lexus ES,3
Hyundai Veloster,1
Infiniti M,13
Ford Mustang Shelby GT500 Coupe,2
Honda Civic Sedan,35
Dodge Grand Caravan,15
Subaru Impreza Hatchback,19
Buick Lacrosse,22
Chevrolet Suburban Half-Ton,6
BMW 6 Series Coup,1
Chrysler Sebring Sedan,3
GMC Terrain,36
Kia Forte,15
Cadillac CTS Sport Sedan,36
Ford Flex,26
Toyota Avalon,5
Acura ZDX,3
Infiniti FX,9
Audi A6 Avant,2
Lexus IS C,9
Chevrolet Camaro Convertible,16
Dodge Journey,19
Toyota Yaris 5-Door Liftback,8
Chevrolet Camaro Coupe,31
Infiniti G37 Sedan,10
Kia Rio,8
MINI Countryman,12
GMC Acadia,28
Audi A6 Sedan,5
Nissan Altima Coupe,7
Toyota Matrix,13
Chevrolet Aveo,5
Kia Optima Hybrid,1
Hyundai Tucson,29
Transit Connect Wagon,4
Volvo S60,4
Volkswagen Touareg,8
Chevrolet Silverado 1500 Hybrid,12
Lotus Exige,5
Rolls-Royce Phantom Sedan,4
Subaru Forester,23
Audi A7,1
Honda CR-V,14
BMW M3 Sedan,2
Subaru Impreza WRX Hatchback,9
Chevrolet Suburban Three-Quarter-Ton,4
Acura TL,8
BMW 6 Series Convertible,1
Lexus IS F,2
BMW 1 Series Coupe,7
Nissan Versa Hatchback,6
Mercedes-Benz CLS-Class,3
Honda Civic Coupe,8
Aston Martin V8 Vantage Roadster,5
Saab 9-3 Convertible,14
Mazda Mazda3 4-Door,26
Audi A8,7
Mitsubishi Lancer,6
Ford Shelby GT500 Coupe,1
Mercedes-Benz GL-Class,6
Volvo S80,6
Dodge Ram 1500,109
Cadillac SRX,16
Audi A5,2
MINI Cooper Hardtop,15
Cadillac DTS,8
Lotus Elise,5
Chevrolet Malibu Hybrid,1
Volkswagen GTI 4-Door,4
Mercedes-Benz SL-Class,3
Volkswagen Passat,6
Cadillac Escalade EXT,6
Audi Q5,6
Toyota Tacoma,38
Porsche 911 Cabriolet,12
Ford E-350 Super Duty Wagon,16
Maybach Landaulet,3
Audi A4 Sedan,9
Suzuki Kizashi,7
Mazda Mazda3 5-Door,13
Porsche Cayenne,12
Chevrolet Corvette Convertible,24
Porsche Cayenne S Hybrid,1
Suzuki Grand Vitara,15
Toyota RAV4,24
Kia Sorento,22
Mitsubishi Endeavor,6
Lexus IS,14
Porsche 911 Coupe,16
Maybach 57,5
Ford Escape,32
Kia Soul,17
Toyota FJ Cruiser,9
Toyota Sequoia,29
Chevrolet Tahoe Hybrid,4
Volvo XC90,18
Lexus LFA,1
Ford Transit Connect Van,2
Lincoln MKZ,2
Lincoln Navigator,10
Hyundai Genesis Coupe,28
BMW 5 Series Gran Turismo,7
Ford Edge,25
Jeep Wrangler,52
Chevrolet Avalanche,12
Acura TSX,10
Kia Forte Koup,12
Ford Fusion,29
Maybach 62,5
BMW ALPINA B7 Sedan,4
Ford Expedition,52
Honda Accord Coup,7
Lincoln Town Car,4
Mitsubishi Outlander,6
Buick Verano,3
Chevrolet Corvette Grand Sport Coupe,24
Aston Martin Virage Volante,2
Dodge Nitro,18
Jaguar XK Coup,8
Jeep Liberty,25
Mitsubishi Eclipse Spyder,7
Volkswagen Golf R 4-Door,1
Hyundai Santa Fe,27
Bentley Brooklands,1
Mitsubishi Outlander Sport,1
Dodge Durango,22
Mazda RX-8,10
Dodge Caliber,11
Jeep Grand Cherokee,48
Cadillac CTS-V Coupe,4
Lamborghini Gallardo Spyder,1
Hyundai Veracruz,13
Hyundai Sonata Hybrid,1
Land Rover LR4,7
Hyundai Equus,4
Volkswagen Routan,12
Suzuki Equator,15
Ford Explorer,26
Audi S5 Coupe,6
Toyota Sienna,33
Kia Forte 5-Door,6
Chevrolet Corvette Coupe,24
Lincoln MKT,8
Lexus LS,12
BMW 5 Series Sedan,29
BMW X5,10
Chrysler Town and Country,9
Honda Accord Crosstour Hatchback,9
Volkswagen Golf R 2-Door,1
Audi A3,8
Toyota Corolla,13
Aston Martin Rapide,5
Volvo XC60,21
Audi R8 Spyder,4
Jaguar XF,12
Mitsubishi Galant,6
Volkswagen Beetle,3
BMW 3 Series Convertible,17
Mercedes-Benz E-Class Cabriolet,2
Nissan Xterra,23
Ford Mustang Shelby GT500 Convertible,3
Ford E-350 Super Duty Van,16
Mazda MX-5 Miata,28
Chrysler 200 Sedan,4
Ford Mustang Convertible,24
Aston Martin V12 Vantage,4
GMC Sierra 1500 Hybrid,8
Nissan Sentra,9
Saab 9-3 SportCombi,13
Mercedes-Benz C-Class,20
Nissan JUKE,2
Volvo C30,20
Chevrolet Silverado 1500,116
Suzuki SX4 Sportback,4
Mazda Tribute,18
Chevrolet Sonic Hatchback,8
